mofid,mofkey,simples_nodes,simples_linkers,simples,topology,cat,cifname
Cl[Cu]O[Cu]O[Cu]Cl.O=[C]1=NC=CC=N1.n1ccc(cc1)c1ccncc1 MOFid-v1.hxl.cat1;1100140,Cu.BSACTHHIMKWVLX.MWVTWFVJZLCBMC.MOFkey-v1.hxl,['Cl[Cu]O[Cu]O[Cu]Cl'],"['O=[C]1=NC=CC=N1', 'n1ccc(cc1)c1ccncc1']",Cl[Cu]O[Cu]O[Cu]Cl.O=[C]1=NC=CC=N1.n1ccc(cc1)c1ccncc1,hxl,1,1100140
[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.acs.cat0;1100722,Fe.KKEYFWRCBNTPAC.MOFkey-v1.acs,['[Fe][O]([Fe])[Fe]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-],acs,0,1100722
* MOFid-v1.NA.NAno_mof;1100723,NA.MISSING_LINKERS.MOFkey-v1,[],[],*,NA,,1100723
[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-] MOFid-v1.sql.cat1;1501627,In.GZJYHAYPVZNUJX.MOFkey-v1.sql,['[In]'],['[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-]'],[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-],sql,1,1501627
[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-] MOFid-v1.sql.cat1;1501628,In.GZJYHAYPVZNUJX.MOFkey-v1.sql,['[In]'],['[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-]'],[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-],sql,1,1501628
"[In].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.pts,tfi.cat0;1501629",In.TYPODEXFRPHZNH.MOFkey-v1.pts,['[In]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],[In].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],"pts,tfi",0,1501629
[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-] MOFid-v1.sql.cat1;1501630,In.GZJYHAYPVZNUJX.MOFkey-v1.sql,['[In]'],['[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-]'],[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-],sql,1,1501630
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Zn][Zn][O] MOFid-v1.tbo.cat0;1501771,Zn.QMKYBPDZANOJGF.MOFkey-v1.tbo,['[O][Zn][Zn][O]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Zn][Zn][O],tbo,0,1501771
[Rh][Rh].n1ccncc1 MOFid-v1.ERROR.cat0;1505053,Rh.KYQCOXFCLRTKLS.MOFkey-v1.ERROR,['[Rh][Rh]'],['n1ccncc1'],[Rh][Rh].n1ccncc1,ERROR,0,1505053
[Rh][Rh].n1ccncc1 MOFid-v1.ERROR.cat0;1505054,Rh.KYQCOXFCLRTKLS.MOFkey-v1.ERROR,['[Rh][Rh]'],['n1ccncc1'],[Rh][Rh].n1ccncc1,ERROR,0,1505054
